block_number,miner_reward,fee_recipient_eth_diff,miner,fee_recipient,coinbase_transfers,eth_sent_to_fee_recipient,gas_used,gas_price,effective_priority_fee
18909018,23080669700625633,23080669700625633,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,9660228,2389246889,2389246889
18908989,27351715076158836,27351715076158836,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,28498662,959754358,959754358
18908901,79820385555004577,79820385555004577,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,13562433,5885403124,5885403124
18908883,31976058919197407,31976058919197407,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,1233105484329853,1233105484329853,8524681,3750997711,3750997711
18908715,116366731185440135,116366731185440135,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,13903506,8369596214,8369596214
18908700,46196269005202106,46196269005202106,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,17436257,2649437261,2649437261
18908583,20090156533757110,20090156533757110,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,17667443,1137128702,1137128702
18908447,26049238155708238,26049238155708238,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,17720614,1469996364,1469996364
18908328,43967014145981552,43967014145981552,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,25324255,1736162194,1736162194
18908253,14680025313186850,14680025313186850,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,14779192,993290114,993290114
18908148,29139081251067414,29139081251067414,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,5245052113714110,5245052113714110,5082542,5733170773,5733170773
18908134,15768261251077151,15768261251077151,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,14407318,1094461942,1094461942
18908060,29686487227300500,29686487227300500,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,11883228,2498183761,2498183761
18908028,70355986112454747,70355986112454747,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,10253243,6861827629,6861827629
18908027,89024206996943797,89024206996943797,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,1658518755040605,1658518755040605,15954561,5579859389,5579859389
18907959,53982125207759990,53982125207759990,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,13072559,4129422954,4129422954
18907929,93760709429245417,93760709429245417,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,80683659126504000,80683659126504000,11282064,8310598967,8310598967
18907850,16104682017817980,16104682017817980,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,1983928037039800,1983928037039800,5492446,2932151179,2932151179
18907755,91897223218121962,91897223218121962,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,71651063923488000,71651063923488000,16970919,5414982136,5414982136
18907733,32279399110761980,32279399110761980,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,7226676141732604,7226676141732604,17343763,1861153148,1861153148
